"","LocationID","Device.ID","time_utc","dewpoint_temperature_2m","skin_temperature","surface_net_solar_radiation_hourly","surface_pressure","surface_solar_radiation_downwards","temperature_2m","total_evaporation","total_precipitation","u_component_of_wind_10m","v_component_of_wind_10m","temp_station","dew_temp_station","temperature_indoor_impute2","humidity_indoor_impute2","year","month","day","hour","dow","season","humidity_station","humidity_EAR5","lag_1_hour_temp","lag_2_hour_temp","lag_3_hour_temp","lag_24_hour_temp","mv_hour_temp"
"1","20","34",2022-01-02 00:00:00,282.442443847656,296.338043212891,1310570,100877.7421875,33236596,293.971160888672,-0.00281290337443352,1.722574154428e-06,-6.03955078125,-0.100204467773438,21.4,9.9,26.65,37.23,2022,1,2,0,1,1,47.3700589292548,82.0207805782397,26.59,26.73,26.91,26.48,26.62
"2","20","34",2022-01-02 01:00:00,282.469924926758,300.978363037109,1992797.75,100879.7109375,2354414.75,296.71630859375,-0.000137313851155341,0,-5.25798034667969,-0.149948120117188,24.1,10,26.92,37.01,2022,1,2,1,1,1,40.3545679276543,78.3701695033112,26.65,26.59,26.73,26.59,26.785
"3","20","34",2022-01-02 02:00:00,282.472030639648,305.95832824707,2581943.75,100839.796875,5404854.5,299.208633422852,-0.00028994376771152,0,-4.07504272460938,0.15570068359375,25.8,10,27.2,37.2,2022,1,2,2,1,1,36.3820815797282,75.1952937541767,26.92,26.65,26.59,26.77,27.06
"4","20","34",2022-01-02 03:00:00,282.238464355469,310.812103271484,3027381.5,100780.2890625,8981525,301.295150756836,-0.000456197885796428,0,-2.50924682617188,0.636093139648438,27.9,10.1,27.5,37.14,2022,1,2,3,1,1,32.27958304047,72.3570364289326,27.2,26.92,26.65,26.91,27.35
"5","20","34",2022-01-02 04:00:00,281.033416748047,315.297409057617,3292611,100701.4609375,12871511,302.83219909668,-0.000626326072961092,0,-0.80096435546875,1.58670043945312,29.4,9.5,27.72,37.39,2022,1,2,4,1,1,28.3501075197622,69.0782932118596,27.5,27.2,26.92,27.06,27.61
"6","20","34",2022-01-02 05:00:00,280.468170166016,318.393569946289,3354910,100639.27734375,16835056,304.05354309082,-0.00080711068585515,0,0.404464721679688,2.43223571777344,31,9.3,27.9,37.52,2022,1,2,5,1,1,25.4540519944453,67.0447879380817,27.72,27.5,27.2,27.23,27.81
"7","20","34",2022-01-02 06:00:00,280.471740722656,319.129760742188,3211858,100581.46484375,20629546,304.842361450195,-0.00100374594330788,0,1.09199523925781,3.01664733886719,30.5,13.3,28.15,38.15,2022,1,2,6,1,1,34.260961518547,66.1957427442131,27.9,27.72,27.5,27.4,28.025
"8","20","34",2022-01-02 07:00:00,281.806732177734,318.021850585938,2883624,100546.5625,24036216,304.799392700195,-0.00119205005466938,0,2.15650939941406,4.08743286132812,31.3,12.6,28.36,42.04,2022,1,2,7,1,1,31.2121022242488,67.8195276945341,28.15,27.9,27.72,27.54,28.255
"9","20","34",2022-01-02 08:00:00,282.828399658203,315.210479736328,2382858,100537.07421875,26851232,304.35334777832,-0.00136905815452337,0,2.49934387207031,4.92573547363281,29.9,12.8,28.64,42.34,2022,1,2,8,1,1,34.3382546594988,69.5486103059351,28.36,28.15,27.9,27.64,28.5
"10","20","34",2022-01-02 09:00:00,284.289367675781,311.531448364258,1756980,100499.0234375,28926804,303.113998413086,-0.00151674542576075,0,2.55068969726562,5.75137329101562,28.4,14.3,28.74,43.72,2022,1,2,9,1,1,41.4308619842206,72.801292838731,28.64,28.36,28.15,27.84,28.69
